,Games Played,Wins,Draws,Losses,Goals For,Goals Against,Goals difference,Points
Manchester City,32,24,5,3,75,20,55,77
Liverpool,32,23,7,2,83,22,61,76
Chelsea,31,18,8,5,66,27,39,62
Tottenham Hotspur,32,18,3,11,56,38,18,57
Arsenal,32,18,3,11,49,39,10,57
Manchester United,33,15,9,9,52,48,4,54
West Ham United,33,15,7,11,52,43,9,52
Wolverhampton Wanderers,32,15,4,13,33,28,5,49
Leicester City,31,11,8,12,47,51,-4,41
Brighton & Hove Albion,33,9,13,11,29,40,-11,40
Newcastle United,33,10,10,13,37,55,-18,40
Brentford,33,11,6,16,41,49,-8,39
Southampton,33,9,12,12,38,54,-16,39
Crystal Palace,32,8,13,11,43,41,2,37
Aston Villa,31,11,3,17,42,46,-4,36
Leeds United,32,8,9,15,38,68,-30,33
Everton,31,8,5,18,34,53,-19,29
Burnley,32,5,13,14,28,45,-17,28
Watford,32,6,4,22,30,62,-32,22
Norwich City,32,5,6,21,22,66,-44,21
